text,label
"Local authorities released data showing improvement in literacy rates, based on data from the Ministry of Statistics.",REAL
"Health officials clarified that the reported rumors about the merger are false, based on data from the Ministry of Statistics.",REAL
A banned ancient remedy show that eating this fruit melts belly fat in 3 days. This will blow your mind.,FAKE
"Doctors claim that the earth is actually flat and NASA is hiding it. Wake up, people, before it's too late!",FAKE
Doctors prove that 5G towers are spreading a dangerous new disease. This will blow your mind.,FAKE
"The United Nations held a press conference to discuss the upcoming budget, based on data from the Ministry of Statistics.",REAL
Anonymous sources show that eating this fruit melts belly fat in 3 days. The mainstream media won't tell you this.,FAKE
"The Election Commission opened a new research center focused on renewable energy, as confirmed in a press release.",REAL
"A secret government report reveal the truth they don't want you to know about vaccines. Wake up, people, before it's too late!",FAKE
"NASA launched a new satellite to monitor weather patterns, as confirmed in a press release.",REAL
"NASA released data showing improvement in literacy rates, according to officials who spoke on condition of anonymity.",REAL
"The state government approved funding for a new public transportation project, based on figures published by the central bank.",REAL
"The state government reported a decline in unemployment figures for the last quarter, as stated in the annual report.",REAL
"The central government reported a decline in unemployment figures for the last quarter, based on figures published by the central bank.",REAL
Aliens show that eating this fruit melts belly fat in 3 days. Forward to everyone you know right now!,FAKE
A secret society confirm that a miracle pill can make you lose 10kg in a week. They don't want you to see this video.,FAKE
A mysterious billionaire reveal a hidden message found in an old currency note. This is being hidden from the public!,FAKE
"Scientists at IIT Bombay opened a new research center focused on renewable energy, as reported by Reuters.",REAL
"The World Health Organization held a press conference to discuss the upcoming budget, based on figures published by the central bank.",REAL
"Health officials opened a new research center focused on renewable energy, based on figures published by the central bank.",REAL
"Scientists at IIT Bombay reported a decline in unemployment figures for the last quarter, as stated in the annual report.",REAL
Anonymous sources prove that 5G towers are spreading a dangerous new disease. Share this before it gets deleted!!!,FAKE
Top secret documents reveal that a celebrity secretly died years ago and was replaced. Forward to everyone you know right now!,FAKE
Government insiders claim a famous actor secretly controls the world's banks. Share this before it gets deleted!!!,FAKE
"A mysterious billionaire reveal that schools are hiding a shocking secret from parents. Wake up, people, before it's too late!",FAKE
"The central government announced a new policy to improve infrastructure spending, as reported by Reuters.",REAL
"The World Health Organization began construction on a new hospital in the district, based on data from the Ministry of Statistics.",REAL
"The Supreme Court released data showing improvement in literacy rates, as stated in the annual report.",REAL
"Researchers at Harvard University announced scholarships for students from low income families, according to the official government website.",REAL
"NASA confirmed a drop in inflation for the third straight month, as stated in the annual report.",REAL
This one weird trick show shocking footage that the mainstream media refuses to air. Doctors hate this simple trick.,FAKE
A banned ancient remedy show that a common household item is actually deadly radioactive. Share this before it gets deleted!!!,FAKE
"The World Health Organization confirmed that the new vaccine trial met safety standards, according to the official government website.",REAL
This shocking discovery prove that the moon landing was completely fake. Doctors hate this simple trick.,FAKE
This one weird trick reveal the truth they don't want you to know about vaccines. This is being hidden from the public!,FAKE
A miracle fruit reveal a hidden message found in an old currency note. This is being hidden from the public!,FAKE
Hidden cameras confirm that drinking this juice cures cancer overnight. They don't want you to see this video.,FAKE
"The company's board began construction on a new hospital in the district, as stated in the annual report.",REAL
Aliens reveal a hidden message found in an old currency note. Share this before it gets deleted!!!,FAKE
"The company Tesla clarified that the reported rumors about the merger are false, according to the official government website.",REAL
A miracle fruit show that a common household item is actually deadly radioactive. The mainstream media won't tell you this.,FAKE
"The company Tesla held a press conference to discuss the upcoming budget, as confirmed in a press release.",REAL
"Health officials issued guidelines for road safety during the festival season, according to officials who spoke on condition of anonymity.",REAL
"The Reserve Bank of India reported a decline in unemployment figures for the last quarter, based on figures published by the central bank.",REAL
"The Finance Ministry signed a trade agreement with neighboring countries, based on data from the Ministry of Statistics.",REAL
"The central government published a study on climate change trends in the region, according to officials who spoke on condition of anonymity.",REAL
"The Supreme Court launched a new satellite to monitor weather patterns, as reported by Reuters.",REAL
A secret government report prove that the moon landing was completely fake. The mainstream media won't tell you this.,FAKE
"The Reserve Bank of India announced scholarships for students from low income families, according to the official government website.",REAL
Hidden cameras show that eating this fruit melts belly fat in 3 days. They don't want you to see this video.,FAKE
"City officials confirmed a drop in inflation for the third straight month, as confirmed in a press release.",REAL
The illuminati expose a secret plan to microchip every citizen by next year. Share this before it gets deleted!!!,FAKE
Anonymous sources reveal the truth they don't want you to know about vaccines. This is being hidden from the public!,FAKE
Aliens reveal that a celebrity secretly died years ago and was replaced. This is being hidden from the public!,FAKE
Celebrities show shocking footage that the mainstream media refuses to air. Doctors hate this simple trick.,FAKE
"The Election Commission held a press conference to discuss the upcoming budget, according to officials who spoke on condition of anonymity.",REAL
"The company's board announced a new policy to improve infrastructure spending, according to an official statement.",REAL
A banned ancient remedy show shocking footage that the mainstream media refuses to air. The mainstream media won't tell you this.,FAKE
"University researchers inaugurated a new bridge connecting the two districts, as confirmed in a press release.",REAL
Doctors reveal a hidden message found in an old currency note. You won't believe what happens next.,FAKE
A secret society prove that the moon landing was completely fake. Doctors hate this simple trick.,FAKE
A secret government report confirm that a miracle pill can make you lose 10kg in a week. This changes everything we thought we knew.,FAKE
"A secret government report warn that your phone is secretly recording everything you say. Wake up, people, before it's too late!",FAKE
"The Finance Ministry announced scholarships for students from low income families, according to the official government website.",REAL
"Researchers at Harvard University launched a new satellite to monitor weather patterns, as reported by Reuters.",REAL
A secret society prove aliens are hiding inside a mountain and the government knows. Doctors hate this simple trick.,FAKE
"Scientists at IIT Bombay released data showing improvement in literacy rates, based on data from the Ministry of Statistics.",REAL
Celebrities expose a plot to replace world leaders with robotic doubles. Forward to everyone you know right now!,FAKE
"The state government issued guidelines for road safety during the festival season, as confirmed in a press release.",REAL
This shocking discovery prove that the moon landing was completely fake. You won't believe what happens next.,FAKE
The illuminati show that a common household item is actually deadly radioactive. The mainstream media won't tell you this.,FAKE
"The Reserve Bank of India confirmed that the new vaccine trial met safety standards, according to the official government website.",REAL
A secret society expose how a common vegetable can cure every disease known to man. Forward to everyone you know right now!,FAKE
A mysterious billionaire prove that 5G towers are spreading a dangerous new disease. You won't believe what happens next.,FAKE
"University researchers clarified that the reported rumors about the merger are false, according to the official government website.",REAL
"Scientists at IIT Bombay confirmed the results of the recent state elections, according to an official statement.",REAL
The illuminati expose a secret plan to microchip every citizen by next year. The mainstream media won't tell you this.,FAKE
"The World Health Organization issued guidelines for road safety during the festival season, according to an official statement.",REAL
"Economists will hold a public consultation on the new education policy, according to the official government website.",REAL
Celebrities reveal the truth they don't want you to know about vaccines. They don't want you to see this video.,FAKE
"Scientists at IIT Bombay released its quarterly report showing steady growth, based on data from the Ministry of Statistics.",REAL
"Scientists at IIT Bombay will hold a public consultation on the new education policy, as confirmed in a press release.",REAL
"Health officials will hold a public consultation on the new education policy, as confirmed in a press release.",REAL
"Health officials confirmed a drop in inflation for the third straight month, according to officials who spoke on condition of anonymity.",REAL
"The central government released data showing improvement in literacy rates, as stated in the annual report.",REAL
"The central government issued guidelines for road safety during the festival season, based on data from the Ministry of Statistics.",REAL
"The Election Commission published a study on climate change trends in the region, according to an official statement.",REAL
This one weird trick prove that the moon landing was completely fake. Forward to everyone you know right now!,FAKE
"The Supreme Court announced scholarships for students from low income families, based on figures published by the central bank.",REAL
"Scientists at IIT Bombay clarified that the reported rumors about the merger are false, as reported by Reuters.",REAL
Celebrities expose how a common vegetable can cure every disease known to man. The mainstream media won't tell you this.,FAKE
Hidden cameras prove that 5G towers are spreading a dangerous new disease. This is being hidden from the public!,FAKE
"City officials clarified that the reported rumors about the merger are false, based on figures published by the central bank.",REAL
A mysterious billionaire prove aliens are hiding inside a mountain and the government knows. Share this before it gets deleted!!!,FAKE
"Researchers at Harvard University conducted an audit of the state's healthcare spending, according to officials who spoke on condition of anonymity.",REAL
"The United Nations published a study on climate change trends in the region, according to the official government website.",REAL
"The Reserve Bank of India approved funding for a new public transportation project, as stated in the annual report.",REAL
"The World Health Organization conducted an audit of the state's healthcare spending, according to the official government website.",REAL
Aliens expose a plot to replace world leaders with robotic doubles. Forward to everyone you know right now!,FAKE
"Researchers at Harvard University confirmed the results of the recent state elections, as reported by Reuters.",REAL
A secret government report reveal that schools are hiding a shocking secret from parents. You won't believe what happens next.,FAKE
"The Ministry of Health reported a decline in unemployment figures for the last quarter, according to the official government website.",REAL
"The Ministry of Health signed a trade agreement with neighboring countries, as confirmed in a press release.",REAL
"NASA signed a trade agreement with neighboring countries, according to an official statement.",REAL
"The company's board clarified that the reported rumors about the merger are false, according to officials who spoke on condition of anonymity.",REAL
"The state government conducted an audit of the state's healthcare spending, based on figures published by the central bank.",REAL
A miracle fruit reveal that a celebrity secretly died years ago and was replaced. You won't believe what happens next.,FAKE
"Local authorities issued guidelines for road safety during the festival season, according to officials who spoke on condition of anonymity.",REAL
"The central government announced a new policy to improve infrastructure spending, as confirmed in a press release.",REAL
"The World Health Organization began construction on a new hospital in the district, based on figures published by the central bank.",REAL
"NASA confirmed that the new vaccine trial met safety standards, as confirmed in a press release.",REAL
Local mom expose a plot to replace world leaders with robotic doubles. Share this before it gets deleted!!!,FAKE
Government insiders claim a famous actor secretly controls the world's banks. This will blow your mind.,FAKE
"The Election Commission reported a decline in unemployment figures for the last quarter, based on data from the Ministry of Statistics.",REAL
"City officials opened a new research center focused on renewable energy, according to officials who spoke on condition of anonymity.",REAL
Government insiders prove that the moon landing was completely fake. This is being hidden from the public!,FAKE
"Health officials announced a new policy to improve infrastructure spending, according to the official government website.",REAL
A secret government report show that eating this fruit melts belly fat in 3 days. This changes everything we thought we knew.,FAKE
Local mom show that a common household item is actually deadly radioactive. This changes everything we thought we knew.,FAKE
"The Ministry of Health confirmed a drop in inflation for the third straight month, as confirmed in a press release.",REAL
"The Election Commission began construction on a new hospital in the district, according to the official government website.",REAL
"The Ministry of Health released its quarterly report showing steady growth, based on figures published by the central bank.",REAL
Top secret documents show that a common household item is actually deadly radioactive. Share this before it gets deleted!!!,FAKE
Local mom warn that your phone is secretly recording everything you say. This is being hidden from the public!,FAKE
A banned ancient remedy expose a plot to replace world leaders with robotic doubles. This changes everything we thought we knew.,FAKE
"A viral WhatsApp message show that eating this fruit melts belly fat in 3 days. Wake up, people, before it's too late!",FAKE
"Health officials launched a new satellite to monitor weather patterns, according to an official statement.",REAL
"The Prime Minister published a study on climate change trends in the region, as stated in the annual report.",REAL
"Big Pharma prove aliens are hiding inside a mountain and the government knows. Wake up, people, before it's too late!",FAKE
"The Ministry of Health announced a new policy to improve infrastructure spending, according to the official government website.",REAL
